연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2020,7,24,3426,아주버님의 끝내주는 물건,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-07-24T00:00:00Z
2020,7,22,3426,여관의 뜨거운 밤,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-07-22T00:00:00Z
2020,7,24,3426,다 주는 이웃집 돌싱녀,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-07-24T00:00:00Z
2020,8,12,3426,바다 몬스터2,5000,0,1,1,1,미국,미국,(주)블루라벨픽쳐스,2020-08-12T00:00:00Z
NA,NA,NA,3426,순천부: 국자감살인사건,1000,0,1,1,1,중국,중국,NA,NA
NA,NA,NA,3426,Support Local Movies - 극장쪽으로 + 고백,7000,0,1,1,1,한국,한국,NA,NA
NA,NA,NA,3426,봉신방: 달기전,1000,0,1,1,1,중국,중국,NA,NA
2020,12,9,3426,내 누나는 야설작가 - 무삭제,5000,0,1,1,1,한국,한국,스마일컨텐츠,2020-12-09T00:00:00Z
2020,11,2,3426,아내의 친구 : 아내 몰래 섹스한 날 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-11-02T00:00:00Z
2020,8,28,3426,홈헬퍼 두 얼굴: 저항 못하고 빨린 양기,2000,0,1,1,1,일본,일본,(주)씨맥스커뮤니케이션즈,2020-08-28T00:00:00Z
NA,NA,NA,3426,여직원: 또 하자고 달려드는 예쁜이,2000,0,1,1,1,일본,일본,NA,NA
NA,NA,NA,3426,옆집 처녀에 넋 나간 남편,6000,0,1,1,1,일본,일본,NA,NA
2020,12,16,3426,장모의 마사지 - 무삭제,5000,0,1,1,1,한국,한국,스마일컨텐츠,2020-12-16T00:00:00Z
2020,8,5,3426,예비며느리,2000,0,1,1,1,한국,한국,(주)액티버스엔터테인먼트,2020-08-05T00:00:00Z
2020,12,23,3426,신입 여사원,6000,0,1,1,1,한국,한국,주식회사 플릭스코,2020-12-23T00:00:00Z
2020,8,14,3426,미망인: 남편 앞 쾌감 절정,2000,0,1,1,1,일본,일본,(주)씨맥스커뮤니케이션즈,2020-08-14T00:00:00Z
2020,12,10,3426,모델 박아라 감독판,6000,0,1,1,1,한국,한국,선셋 시네마,2020-12-10T00:00:00Z
2020,12,15,3426,어린과부 무삭제,6000,0,1,1,1,한국,한국,제뉴어리이공 현프로,2020-12-15T00:00:00Z
2020,8,7,3426,가슴큰며느리,5000,0,1,1,1,한국,한국,스마일컨텐츠,2020-08-07T00:00:00Z
